Ainit T val
42 901 0
44 901 0
46 901 0
48 901 0
50 901 0
0 931 0
2 931 0
4 931 0
6 931 0
8 931 0
10 931 0
12 931 0
14 931 0
16 931 0
18 931 0
20 931 0
22 931 0
24 931 0
26 931 0
28 931 0
30 931 0
32 931 0
34 931 0
36 931 0
38 931 0
40 931 0
42 931 0
44 931 0
46 931 0
48 931 1
50 931 1.00391
0 961 0
2 961 0
4 961 0
6 961 0
8 961 0
10 961 0
12 961 0
14 961 0
16 961 0
18 961 0
20 961 0
22 961 0
24 961 0
26 961 0
28 961 0
30 961 0
32 961 0
34 961 0
36 961 0
38 961 0
40 961 0
42 961 0
44 961 0
46 961 0
48 961 0
50 961 1.01124
0 991 0
2 991 0
4 991 0
6 991 0
8 991 0
10 991 0
12 991 0
14 991 0
16 991 0
18 991 0
20 991 0
22 991 0
24 991 0
26 991 0
28 991 0
30 991 0
32 991 0
34 991 0
36 991 0
38 991 0
40 991 0
42 991 0
44 991 0
46 991 0
48 991 0
50 991 0
0 1021 0
2 1021 0
4 1021 0
6 1021 0
8 1021 0
10 1021 0
12 1021 0
14 1021 0
16 1021 0
18 1021 0
20 1021 0
22 1021 0
24 1021 0
26 1021 0
28 1021 0
30 1021 0
32 1021 0
34 1021 0
36 1021 0
38 1021 1.66667
40 1021 0
42 1021 0
44 1021 0
46 1021 0
48 1021 0
50 1021 0
0 1051 0
2 1051 0
4 1051 0
6 1051 0
8 1051 0
10 1051 0
12 1051 0
14 1051 0
16 1051 0
18 1051 0
20 1051 0
22 1051 0
24 1051 0
26 1051 0
28 1051 0
30 1051 0
32 1051 0
34 1051 0
36 1051 0
38 1051 0
40 1051 0
42 1051 0
44 1051 0
46 1051 0
48 1051 0
50 1051 0
0 1081 0
2 1081 0
4 1081 0
6 1081 0
8 1081 0
10 1081 0
12 1081 0
14 1081 0
16 1081 0
18 1081 0
20 1081 0
22 1081 0
24 1081 0
26 1081 0
28 1081 0
30 1081 0
32 1081 0
34 1081 0
36 1081 0
38 1081 0
40 1081 0
42 1081 0
44 1081 0
46 1081 0
48 1081 0
50 1081 0
0 1111 0
2 1111 0
4 1111 0
6 1111 0
8 1111 0
10 1111 0
12 1111 0
14 1111 0
16 1111 0
18 1111 0
20 1111 0
22 1111 0
24 1111 0
26 1111 0
28 1111 0
30 1111 0
32 1111 0
34 1111 0
36 1111 0
38 1111 0
40 1111 0
42 1111 0
44 1111 0
46 1111 0
48 1111 0
50 1111 0
0 1141 0
2 1141 0
4 1141 0
6 1141 0
8 1141 0
10 1141 0
12 1141 0
14 1141 0
16 1141 0
18 1141 0
20 1141 0
22 1141 0
24 1141 0
26 1141 0
28 1141 0
30 1141 0
32 1141 0
34 1141 0
36 1141 0
38 1141 0
40 1141 0
42 1141 0
44 1141 0
46 1141 0
48 1141 0
50 1141 0
0 1171 0
2 1171 0
4 1171 0
6 1171 0
8 1171 0
10 1171 0
12 1171 0
14 1171 0
16 1171 0
18 1171 0
20 1171 0
22 1171 0
24 1171 0
26 1171 0
28 1171 0
30 1171 0
32 1171 0
34 1171 0
36 1171 0
38 1171 0
40 1171 0
42 1171 0
44 1171 0
46 1171 0
48 1171 0
50 1171 0
0 1201 0
2 1201 0
4 1201 0
6 1201 0
8 1201 0
10 1201 0
12 1201 0
14 1201 0
16 1201 0
18 1201 0
20 1201 0
22 1201 0
24 1201 0
26 1201 0
28 1201 0
30 1201 0
32 1201 0
34 1201 0
36 1201 0
38 1201 0
40 1201 0
42 1201 0
44 1201 0
46 1201 0
48 1201 0
50 1201 0
0 1231 0
2 1231 0
4 1231 0
6 1231 0
8 1231 0
10 1231 0
12 1231 0
14 1231 0
16 1231 0
18 1231 0
20 1231 0
22 1231 0
24 1231 0
26 1231 0
28 1231 0
30 1231 0
32 1231 0
34 1231 0
36 1231 0
38 1231 0
40 1231 0
42 1231 0
44 1231 0
46 1231 0
48 1231 0
50 1231 0
0 1261 0
2 1261 0
4 1261 0
6 1261 0
8 1261 0
10 1261 0
12 1261 0
14 1261 0
16 1261 0
18 1261 0
20 1261 0
22 1261 0
24 1261 0
26 1261 0
28 1261 0
30 1261 0
32 1261 0
34 1261 0
36 1261 0
38 1261 0
40 1261 0
42 1261 0
44 1261 0
46 1261 0
48 1261 0
50 1261 0
0 1291 0
2 1291 0
4 1291 0
6 1291 0
8 1291 0
10 1291 0
12 1291 0
14 1291 0
16 1291 0
18 1291 0
20 1291 0
22 1291 0
24 1291 0
26 1291 0
28 1291 0
30 1291 0
32 1291 0
34 1291 0
36 1291 0
38 1291 0
40 1291 0
42 1291 0
44 1291 0
46 1291 0
48 1291 0
50 1291 0
0 1321 0
2 1321 0
4 1321 0
6 1321 0
8 1321 0
10 1321 0
12 1321 0
14 1321 0
16 1321 0
18 1321 0
20 1321 0
22 1321 0
